               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11627,             0.04093,             0.03034,           0.0018733,             0.19664,           0.0011876,          0.00025268,             0.10034,            0.032597,            0.028149,              0.0946,              0.0006,              0.0006
                   1,             0.09707,            0.044337,            0.027215,           0.0092044,             0.89112,            0.029259,           0.0066411,            0.076595,            0.033962,            0.021512,            0.088274,           0.0012743,           0.0012743
                   2,            0.079237,            0.047771,            0.022143,             0.01781,             0.27876,            0.019003,           0.0051504,            0.071042,            0.037762,            0.016953,            0.081921,           0.0019208,           0.0019208
                   3,            0.071657,            0.043134,            0.019685,             0.66614,             0.21282,             0.19584,            0.049556,              0.0673,            0.070015,            0.015488,             0.07554,           0.0025396,           0.0025396
                   4,            0.066579,            0.037212,            0.018089,             0.54896,             0.22499,             0.24889,            0.074699,            0.060769,            0.088291,            0.014047,            0.069131,           0.0031307,           0.0031307
                   5,            0.065384,              0.0323,            0.014804,             0.25221,             0.61896,             0.43171,             0.11826,            0.062068,            0.059906,            0.010133,            0.062694,           0.0036941,           0.0036941
                   6,            0.064694,              0.0327,            0.012234,             0.58879,             0.59715,             0.62098,             0.21646,            0.065735,            0.033199,           0.0081795,             0.05623,           0.0042298,           0.0042298
                   7,             0.06473,            0.029112,           0.0098542,             0.60424,             0.66509,             0.69466,             0.24688,             0.05319,            0.020065,           0.0071815,            0.049738,           0.0047377,           0.0047377
                   8,            0.065036,            0.028895,           0.0094008,             0.41363,             0.61315,             0.48518,             0.18858,            0.063752,            0.017508,           0.0058426,            0.043218,           0.0052179,           0.0052179
                   9,            0.062514,            0.027231,           0.0083073,             0.46217,             0.60182,             0.52787,             0.18437,            0.061429,            0.016733,           0.0050766,             0.03667,           0.0056704,           0.0056704
                  10,            0.062524,            0.026143,           0.0075017,             0.58972,             0.68808,             0.68924,             0.29693,            0.058959,            0.016008,           0.0046974,            0.030095,           0.0060952,           0.0060952
                  11,            0.059616,             0.02483,           0.0076224,             0.59635,             0.85525,               0.791,             0.29389,              0.0564,            0.015413,           0.0044899,            0.023492,           0.0064923,           0.0064923
                  12,            0.057627,            0.025256,           0.0076254,             0.51783,              0.7316,             0.62519,             0.21224,            0.056605,            0.016619,           0.0040821,            0.016862,           0.0068616,           0.0068616
                  13,            0.055012,            0.024206,            0.006726,             0.60095,             0.81488,              0.7243,             0.31661,            0.059103,            0.018869,           0.0038715,            0.010203,           0.0072032,           0.0072032
                  14,            0.055324,            0.024305,           0.0065002,             0.80084,             0.74681,             0.87836,             0.34391,            0.048591,            0.017551,           0.0036362,            0.007228,            0.007228,            0.007228
                  15,            0.052186,            0.023862,           0.0060324,             0.69327,             0.84644,             0.85251,             0.39292,            0.056915,            0.018427,           0.0036026,            0.007228,            0.007228,            0.007228
                  16,            0.049602,            0.022045,           0.0061272,             0.78315,             0.85148,             0.87831,             0.34361,            0.047257,            0.017294,           0.0035851,             0.00703,             0.00703,             0.00703
                  17,             0.04745,            0.020511,           0.0059078,             0.67936,             0.77003,              0.7813,             0.36794,            0.048967,            0.016661,           0.0036457,            0.006832,            0.006832,            0.006832
                  18,            0.047835,            0.022613,           0.0056114,             0.94238,             0.95356,             0.97191,             0.51243,              0.0378,             0.01413,           0.0033817,            0.006634,            0.006634,            0.006634
                  19,            0.044847,            0.021313,           0.0055255,             0.91843,             0.94745,             0.97091,             0.54904,            0.042174,            0.014561,           0.0032913,            0.006436,            0.006436,            0.006436
                  20,            0.043045,             0.02096,           0.0053215,              0.9353,             0.92956,             0.97629,             0.52475,            0.037486,            0.013556,           0.0031273,            0.006238,            0.006238,            0.006238
                  21,            0.042659,            0.021033,           0.0055928,             0.89999,             0.95067,             0.97885,             0.57752,            0.039411,            0.013845,           0.0029966,             0.00604,             0.00604,             0.00604
                  22,            0.040764,            0.021608,           0.0051105,             0.93975,              0.9654,             0.98634,             0.61197,            0.035755,            0.013023,           0.0028373,            0.005842,            0.005842,            0.005842
